,place name,category,city,link
86,Marrakech  Private Tours,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d3947921-Reviews-Marrakech_Private_Tours-Marrakech_Marrakech_Safi.html
87,Marrakech Day Trip From Agadir,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/AttractionProductReview-g293731-d13969239-Marrakech_Day_Trip_From_Agadir-Agadir_Souss_Massa.html
88,Marrakech Camel Trips,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293733-d3975984-Reviews-Marrakech_Camel_Trips-Fez_Fez_Meknes.html
89,Ready Morocco Tours,Tourist+Attraction,Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d7379487-Reviews-Ready_Morocco_Tours-Marrakech_Marrakech_Safi.html
0,Hotel Timoulay & Spa Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d623548-Reviews-Hotel_Timoulay_Spa_Agadir-Agadir_Souss_Massa.html?
1,Allegro Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d305567-Reviews-Allegro_Agadir-Agadir_Souss_Massa.html?
2,Hotel Riu Palace Tikida Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d2649171-Reviews-Hotel_Riu_Palace_Tikida_Agadir-Agadir_Souss_Massa.html?
3,Hotel Argana,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d557096-Reviews-Hotel_Argana-Agadir_Souss_Massa.html?
4,Hotel Agadir Beach Club,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d556947-Reviews-Hotel_Agadir_Beach_Club-Agadir_Souss_Massa.html?
5,Iberostar Waves Founty Beach,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d549638-Reviews-Iberostar_Waves_Founty_Beach-Agadir_Souss_Massa.html?
6,Hotel Riu Tikida Dunas,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d600207-Reviews-Hotel_Riu_Tikida_Dunas-Agadir_Souss_Massa.html?
7,Sofitel Agadir Royalbay Resort,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d301628-Reviews-Sofitel_Agadir_Royalbay_Resort-Agadir_Souss_Massa.html?
8,Pickalbatros White Beach Taghazout,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g1452345-d21377950-Reviews-Pickalbatros_White_Beach_Taghazout-Tamraght_Agadir_Souss_Massa.html?
9,Sofitel Agadir Thalassa Sea & Spa,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d2573287-Reviews-Sofitel_Agadir_Thalassa_Sea_Spa-Agadir_Souss_Massa.html?
10,Plage d'Agadir,Hotel,Agadir,https://www.tripadvisor.com/Attraction_Review-g293731-d481060-Reviews-Plage_d_Agadir-Agadir_Souss_Massa.html
